# 城市坐标静态表(城市 \t 纬度 \t 经度)。
# 精度声明: 城市级展示近似点, 不是精确地理坐标。
# 来源: 公开地理信息整理; 缺失城市由 geoip 包内置省会表兜底。
聊城市	36.46	115.99
滨州市	37.38	118.03
菏泽市	35.42	115.48
郑州市	34.75	113.62
开封市	34.80	114.31
洛阳市	34.62	112.45
平顶山市	33.77	113.19
安阳市	36.10	114.39
鹤壁市	35.75	114.30
新乡市	35.30	113.92
焦作市	35.23	113.01
濮阳市	35.76	115.03
许昌市	34.04	113.85
漯河市	33.58	114.02
三门峡市	34.77	111.20
南阳市	32.99	112.53
商丘市	34.41	115.65
信阳市	32.15	114.07
周口市	33.63	114.70
驻马店市	33.00	114.02
武汉市	30.59	114.31
黄石市	30.20	115.04
十堰市	32.63	110.79
宜昌市	30.69	111.29
襄阳市	32.01	112.14
鄂州市	30.39	114.89
荆门市	31.04	112.20
孝感市	30.92	113.92
荆州市	30.33	112.24
黄冈市	30.45	114.87
咸宁市	29.84	114.32
随州市	31.68	113.38
恩施州	30.27	109.49
长沙市	28.23	112.94
株洲市	27.83	113.13
湘潭市	27.83	112.94
衡阳市	26.89	112.57
邵阳市	27.24	111.47
岳阳市	29.36	113.09
常德市	29.03	111.70
张家界市	29.13	110.47
益阳市	28.56	112.36
郴州市	25.79	113.03
永州市	26.42	111.60
怀化市	27.55	110.00
娄底市	27.70	112.58
湘西州	28.31	109.74
广州市	23.13	113.26
韶关市	24.81	113.60
深圳市	22.54	114.06
珠海市	22.27	113.58
汕头市	23.35	116.68
佛山市	23.02	113.12
江门市	22.58	113.08
湛江市	21.27	110.36
茂名市	21.66	110.93
肇庆市	23.05	112.47
惠州市	23.11	114.42
梅州市	24.29	116.13
汕尾市	22.79	115.36
河源市	23.74	114.70
阳江市	21.86	111.98
清远市	23.68	113.06
东莞市	23.02	113.75
中山市	22.52	113.39
东兴市	21.54	107.97
潮州市	23.66	116.62
揭阳市	23.55	116.37
云浮市	22.92	112.04
南宁市	22.82	108.32
柳州市	24.33	109.43
桂林市	25.28	110.29
梧州市	23.48	111.28
北海市	21.48	109.12
防城港市	21.62	108.34
钦州市	21.98	108.65
贵港市	23.11	109.60
玉林市	22.65	110.18
百色市	23.90	106.62
贺州市	24.40	111.55
河池市	24.70	108.09
来宾市	23.73	109.21
崇左市	22.38	107.34
海口市	20.04	110.34
三亚市	18.25	109.51
三沙市	16.83	112.33
儋州市	19.52	109.58
重庆市	29.56	106.55
成都市	30.66	104.06
自贡市	29.34	104.77
攀枝花市	26.58	101.72
泸州市	28.87	105.44
德阳市	31.13	104.40
绵阳市	31.47	104.68
广元市	32.44	105.84
遂宁市	30.53	105.57
内江市	29.58	105.06
乐山市	29.55	103.77
南充市	30.84	106.11
眉山市	30.05	103.85
宜宾市	28.75	104.62
广安市	30.46	106.63
达州市	31.21	107.50
雅安市	30.01	103.04
巴中市	36.79	106.77
资阳市	29.99	104.63
阿坝州	31.13	102.24
甘孜州	31.62	97.44
凉山州	27.89	102.26
昆明市	25.04	102.71
曲靖市	25.49	103.80
玉溪市	24.35	102.55
保山市	25.11	99.16
昭通市	27.32	103.71
丽江市	26.86	100.23
普洱市	22.79	100.97
临沧市	23.89	100.09
楚雄州	25.03	101.55
红河州	23.37	103.37
文山州	23.37	104.20
西双版纳	22.01	100.80
大理州	25.61	100.27
德宏州	24.78	98.59
怒江州	25.83	98.85
迪庆州	27.82	99.70
拉萨市	29.65	91.14
日喀则市	29.27	88.88
昌都市	31.14	97.17
林芝市	29.65	94.36
山南市	29.24	91.77
那曲市	31.48	92.05
阿里地区	32.50	80.10
西安市	34.34	108.94
铜川市	34.90	108.95
宝鸡市	34.36	107.24
咸阳市	34.33	108.71
渭南市	34.50	109.51
延安市	36.59	109.49
汉中市	33.07	107.03
榆林市	38.28	109.73
安康市	32.68	109.03
商洛市	33.87	109.93
兰州市	36.06	103.83
嘉峪关市	39.77	98.29
金昌市	38.52	102.19
白银市	36.55	104.14
天水市	34.59	105.72
武威市	37.93	102.64
张掖市	38.94	100.45
平凉市	35.54	106.67
酒泉市	39.73	98.49
庆阳市	35.71	107.64
定西市	34.57	104.61
陇南市	33.40	104.92
临夏州	35.60	103.21
甘南州	34.98	103.60
西宁市	36.62	101.78
海东市	36.50	102.01
海北州	36.96	100.90
黄南州	35.52	102.02
海南州	36.28	100.62
果洛州	34.98	100.21
海西州	37.37	97.36
银川市	38.49	106.27
石嘴山市	39.65	106.40
吴忠市	37.99	106.20
固原市	36.00	106.20
中卫市	37.50	105.18
乌鲁木齐市	43.83	87.62
克拉玛依市	45.58	84.87
吐鲁番市	42.95	89.18
哈密市	42.83	93.51
昌吉州	44.01	87.30
博州	44.83	89.68
巴音郭楞	41.76	86.15
阿克苏地区	41.17	80.26
克孜勒苏	39.72	76.18
喀什地区	39.47	75.99
和田地区	37.10	79.93
伊犁州	43.92	81.28
塔城地区	46.75	82.98
阿勒泰地区	47.80	88.14
香港	22.32	114.17
澳门	22.20	113.54
台北市	25.03	121.56
新北市	25.02	121.46
桃园市	25.01	121.31
台中市	24.15	120.67
台南市	22.99	120.21
高雄市	22.62	120.31
基隆市	25.13	121.74
新竹市	24.80	120.96
嘉义市	23.48	120.45
花莲市	24.00	121.61
台东县	22.75	121.14
